상위품번,상위품명,하위품번,하위품명,분류,수량,단위,재질,공급업체,비고
DEEP-L6,깊은-레벨6,DEEP-L7,깊은-레벨7(말단),구조부품,1,EA,SS400,A사,최하위
DEEP-L3,깊은-레벨3,DEEP-L3-B,깊은-레벨3-분기,조립품,1,EA,,,L3에서 분기
DEEP-L3-B,깊은-레벨3-분기,DEEP-L4-B,깊은-레벨4-분기,조립품,2,EA,,,분기 하위
DEEP-L4-B,깊은-레벨4-분기,공용볼트M10,공용 볼트 M10,체결부품,4,EA,SCM435,G사,깊은곳에서도 공용부품
SHARED-P1,공유부모1,공용볼트M10,공용 볼트 M10,체결부품,8,EA,SCM435,G사,
SHARED-P1,공유부모1,공용와셔M10,공용 와셔 M10,체결부품,8,EA,SUS304,G사,
SHARED-P1,공유부모1,공용너트M10,공용 너트 M10,체결부품,8,EA,S45C,G사,
SHARED-P1,공유부모1,SHARED-P1-C1,공유부모1-자식1,가공부품,1,EA,AL6061,B사,
SHARED-P2,공유부모2,공용볼트M10,공용 볼트 M10,체결부품,4,EA,SCM435,G사,
SHARED-P2,공유부모2,공용와셔M10,공용 와셔 M10,체결부품,4,EA,SUS304,G사,
SHARED-P2,공유부모2,공용너트M10,공용 너트 M10,체결부품,4,EA,S45C,G사,
SHARED-P2,공유부모2,SHARED-P2-C1,공유부모2-자식1,구조부품,2,EA,SS400,A사,
SHARED-P3,공유부모3,공용볼트M10,공용 볼트 M10,체결부품,6,EA,SCM435,G사,
SHARED-P3,공유부모3,공용와셔M10,공용 와셔 M10,체결부품,6,EA,SUS304,G사,
SHARED-P3,공유부모3,공용너트M10,공용 너트 M10,체결부품,6,EA,S45C,G사,
SHARED-P4,공유부모4,공용볼트M10,공용 볼트 M10,체결부품,10,EA,SCM435,G사,
SHARED-P4,공유부모4,공용와셔M10,공용 와셔 M10,체결부품,10,EA,SUS304,G사,
SHARED-P5,공유부모5,공용볼트M10,공용 볼트 M10,체결부품,2,EA,SCM435,G사,
DIAMOND-TOP,다이아-상위,DIAMOND-LEFT,다이아-좌측,조립품,1,EA,,,
DIAMOND-TOP,다이아-상위,DIAMOND-RIGHT,다이아-우측,조립품,1,EA,,,
DIAMOND-LEFT,다이아-좌측,DIAMOND-BOTTOM,다이아-하위(공유),가공부품,2,EA,AL6061,B사,좌측에서 참조
DIAMOND-RIGHT,다이아-우측,DIAMOND-BOTTOM,다이아-하위(공유),가공부품,3,EA,AL6061,B사,우측에서도 참조
DIAMOND-BOTTOM,다이아-하위(공유),공용볼트M10,공용 볼트 M10,체결부품,4,EA,SCM435,G사,다이아에서도 공용
SOLO-PARENT,단독부모,SOLO-LEAF1,단독말단1,구조부품,1,EA,SS400,A사,하위 없음
SOLO-PARENT,단독부모,SOLO-LEAF2,단독말단2,가공부품,1,EA,AL6061,B사,하위 없음
MIXED-ROOT,복합조립품,MIXED-SUB-A,복합-서브A,조립품,1,EA,,,서브트리
MIXED-ROOT,복합조립품,MIXED-SUB-B,복합-서브B,조립품,1,EA,,,서브트리
MIXED-ROOT,복합조립품,MIXED-LEAF1,복합-말단1,가공부품,2,EA,SUS304,C사,
MIXED-ROOT,복합조립품,MIXED-LEAF2,복합-말단2,구조부품,1,EA,SS400,A사,
MIXED-ROOT,복합조립품,공용볼트M10,공용 볼트 M10,체결부품,6,EA,SCM435,G사,
MIXED-SUB-A,복합-서브A,MIXED-A-C1,복합A-자식1,가공부품,3,EA,AL6061,B사,
MIXED-SUB-A,복합-서브A,MIXED-A-C2,복합A-자식2,기계부품,1,EA,S45C,E사,
MIXED-SUB-A,복합-서브A,공용와셔M10,공용 와셔 M10,체결부품,6,EA,SUS304,G사,
MIXED-SUB-B,복합-서브B,MIXED-B-C1,복합B-자식1,주조부품,2,EA,FC250,D사,
MIXED-SUB-B,복합-서브B,DIAMOND-BOTTOM,다이아-하위(공유),가공부품,1,EA,AL6061,B사,다이아 부품 재사용
MIXED-SUB-B,복합-서브B,공용너트M10,공용 너트 M10,체결부품,4,EA,S45C,G사,
